Transaction ID,Customer ID,Product Category,Product Name,Quantity,Unit Price,Total Amount,Purchase Date,Customer City,Payment Method
100932,C0503,Groceries,Cooking Oil 1L,2.0,1729.13,3458.26,2024-08-16,Quetta,Debit Card
101309,C0339,Home & Kitchen,Frying Pan,3.0,10892.87,32678.61,2025-09-09,Peshawar,Mobile Wallet
100397,C0535,Clothing,Sneakers,4.0,2668.91,10675.64,2024-12-10,Hyderabad,Bank Transfer
100538,C0224,Electronics,USB-C Cable,3.0,72429.71,217289.13,2025-12-28,Islamabad,Credit Card
100791,C0223,Home & Kitchen,Frying Pan,5.0,6636.68,33183.4,2025-04-15,Quetta,Credit Card
100398,C0389,Beauty,Body Lotion,1.0,521.68,521.68,2024-11-23,Rawalpindi,Debit Card
100175,C0242,Beauty,Lipstick,1.0,1683.36,1683.36,2025-09-20,Quetta,Cash
100260,C0008,Clothing,Jeans,5.0,1200.56,6002.8,2024-12-10,Quetta,Mobile Wallet
100329,C0553,Clothing,Sneakers,1.0,7996.0,7996.0,2025-06-28,Unknown,Debit Card
100368,C0076,Electronics,Bluetooth Speaker,4.0,26787.11,107148.44,2025-12-17,Peshawar,Credit Card
101455,C0413,Beauty,Sunscreen,5.0,2454.85,12274.25,2024-11-20,Hyderabad,Bank Transfer
101573,C0043,Clothing,Jacket,3.0,4161.81,12485.43,2024-10-18,Lahore,Unknown
100022,C0263,Clothing,Sneakers,2.0,6014.12,12028.24,2025-12-03,Sialkot,Credit Card
100259,C0436,Sports,Dumbbell Set,1.0,13674.62,13674.62,2025-06-07,Peshawar,Credit Card
100038,C0513,Beauty,Face Wash,1.0,4818.84,4818.84,2024-10-26,Lahore,Credit Card
100608,C0082,Beauty,Face Wash,2.0,2742.61,5485.22,2024-10-13,Karachi,Credit Card
100002,C0476,Home & Kitchen,Knife Set,4.0,6439.65,25758.6,2025-01-10,Islamabad,Mobile Wallet
101315,C0490,Clothing,Hoodie,4.0,4608.05,18432.2,2024-10-08,Lahore,Credit Card
100065,C0001,Beauty,Sunscreen,3.0,3821.84,11465.52,2024-04-14,Islamabad,Bank Transfer
100457,C0568,Clothing,Cap,2.0,4315.19,8630.38,2025-10-23,Multan,Debit Card
100609,C0559,Sports,Football,4.0,2077.63,8310.52,2025-12-24,Hyderabad,Bank Transfer
101081,C0545,Home & Kitchen,Pillow,5.0,8691.47,43457.35,2025-10-07,Faisalabad,Credit Card
101654,C0024,Groceries,Bread Loaf,2.0,1062.7,2125.4,2024-06-13,Multan,Debit Card
100348,C0245,Groceries,Sugar 1kg,3.0,540.06,1620.18,2024-10-17,Lahore,Debit Card
101303,C0279,Beauty,Lipstick,2.0,3119.01,6238.02,2025-08-08,Karachi,Mobile Wallet
101518,C0393,Groceries,Cooking Oil 1L,1.0,1994.94,1994.94,2025-02-26,Faisalabad,Mobile Wallet
100345,C0493,Sports,Yoga Mat,3.0,3032.5,9097.5,2024-03-12,Karachi,Credit Card
101368,C0575,Beauty,Face Wash,1.0,4235.92,4235.92,2025-02-12,Karachi,Cash
100499,C0288,Sports,Gym Gloves,1.0,10027.58,10027.58,2025-08-21,Lahore,Cash
101302,C0500,Groceries,Biscuits,2.0,2347.81,4695.62,2024-08-19,Karachi,Mobile Wallet
101041,C0221,Clothing,Hoodie,3.0,4315.19,12945.57,2024-10-16,Quetta,Bank Transfer
100433,C0438,Sports,Water Bottle,2.0,8224.65,16449.3,2024-06-05,Sialkot,Cash
100864,C0561,Clothing,Socks Pack,3.0,6645.49,19936.47,2025-10-11,Islamabad,Credit Card
100287,C0529,Sports,Yoga Mat,3.0,4684.94,14054.82,2024-06-09,Quetta,Bank Transfer
101627,C0600,Home & Kitchen,Dinner Set,2.0,6273.03,12546.06,2025-09-17,Islamabad,Mobile Wallet
100744,C0423,Beauty,Lipstick,3.0,1037.03,3111.09,2025-03-01,Faisalabad,Cash
100819,C0560,Groceries,Bread Loaf,3.0,1993.04,5979.12,2025-06-03,Karachi,Credit Card
101088,C0571,Electronics,Bluetooth Speaker,1.0,16570.97,16570.97,2024-03-07,Multan,Mobile Wallet
100861,C0442,Beauty,Body Lotion,3.0,2221.5,6664.5,2024-01-13,Faisalabad,Debit Card
100042,C0325,Sports,Running Shoes,4.0,13345.53,53382.12,2025-06-26,Rawalpindi,Debit Card
100613,C0200,Sports,Water Bottle,1.0,6910.95,6910.95,2025-06-26,Peshawar,Mobile Wallet
101677,C0451,Sports,Yoga Mat,5.0,10306.67,51533.35,2025-03-14,Lahore,Bank Transfer
100794,C0598,Clothing,Cap,3.0,3947.11,11841.33,2024-12-23,Quetta,Credit Card
100722,C0557,Home & Kitchen,Pillow,4.0,11015.03,44060.12,2025-11-05,Hyderabad,Debit Card
100905,C0449,Electronics,USB-C Cable,4.0,67246.86,268987.44,2024-10-25,Hyderabad,Credit Card
101599,C0221,Sports,Yoga Mat,4.0,7697.4,30789.6,2025-06-06,Multan,Bank Transfer
101698,C0560,Clothing,Sneakers,2.0,2857.36,5714.72,2024-02-21,Multan,Mobile Wallet
101610,C0473,Home & Kitchen,Pillow,2.0,4613.53,9227.06,2025-04-03,Sialkot,Unknown
100340,C0434,Groceries,Eggs Dozen,1.0,2397.85,2397.85,2025-04-20,Multan,Credit Card
100130,C0429,Sports,Football,4.0,5311.01,21244.04,2024-10-03,Quetta,Debit Card
100093,C0228,Groceries,Bread Loaf,1.0,2201.77,2201.77,2025-02-15,Unknown,Mobile Wallet
100954,C0427,Home & Kitchen,Bed Sheet,3.0,6799.64,20398.92,2025-02-11,Karachi,Mobile Wallet
100857,C0253,Sports,Gym Gloves,2.0,12177.93,24355.86,2025-11-25,Islamabad,Mobile Wallet
101031,C0146,Clothing,Dress,3.0,3638.37,10915.11,2025-09-26,Islamabad,Debit Card
101168,C0016,Home & Kitchen,Frying Pan,5.0,993.91,4969.55,2025-12-02,Multan,Bank Transfer
101123,C0574,Groceries,Sugar 1kg,1.0,842.32,842.32,2025-06-23,Peshawar,Cash
