Route ID,Route Name,Bus Number,Bus Type,Date,Departure Time,Arrival Time,Delay Duration,Passenger Count,Ticket Revenue,Fuel Consumption,Driver ID,Weather Condition,Day Type,Trip Status
R08,South Terminal - Business District,BUS-309,Standard,2025-03-16,16:30,17:13,5,33,2200.0,6.92,D005,Clear,Weekend,Completed
R05,West Gate - Tech Park,BUS-280,Standard,2025-02-18,12:15,13:34,8,43,3870.0,14.91,D007,Rain,Weekday,Delayed
R02,North Station - University,BUS-109,AC,2025-01-17,18:30,19:13,7,33,2886.0,6.76,Unknown,Clear,Weekday,Completed
R04,East Suburb - Mall Plaza,BUS-392,AC,2025-01-24,16:45,17:54,14,21,1911.0,8.26,D038,Rain,Weekday,Completed
R03,Harbor - Downtown,BUS-367,Mini,2025-01-08,19:00,20:42,27,19,1520.0,15.5,D035,Clear,Weekday,Delayed
R08,South Terminal - Business District,BUS-315,Mini,2025-04-30,08:00,08:48,9,19,1900.0,8.32,D016,Clear,Weekday,Completed
R03,Harbor - Downtown,BUS-376,Standard,2025-01-13,21:00,22:20,20,21,1680.0,14.01,D016,Fog,Weekday,Completed
R01,City Center - Airport,BUS-312,Electric,2025-02-15,19:45,20:22,3,24,3312.0,1.88,D009,Clear,Weekend,Cancelled
R02,North Station - University,BUS-127,Electric,2025-04-10,11:30,12:47,2,37,2553.0,1.56,D020,Cloudy,Weekday,Delayed
R03,Harbor - Downtown,BUS-309,Mini,2025-04-05,14:45,15:24,8,21,1680.0,5.03,D027,Rain,Weekend,Cancelled
R08,South Terminal - Business District,BUS-320,AC,2025-02-21,15:45,16:34,11,31,4030.0,7.87,D005,Storm,Weekday,Completed
R01,City Center - Airport,BUS-339,Electric,2025-01-16,05:00,06:27,24,26,3588.0,0.13,D017,Fog,Weekday,Cancelled
R04,East Suburb - Mall Plaza,BUS-118,Standard,2025-03-28,07:45,08:37,8,48,3360.0,9.99,D007,Cloudy,Weekday,Completed
